"Time (s)","Peak-Frequency"
5.309563908E1,2.343750000E2
5.319693662E1,1.999218750E4
5.329657008E1,1.640625000E2
5.339653200E1,1.989843750E4
5.349467846E1,2.578125000E2
5.359612947E1,2.812500000E2
5.369390116E1,1.996875000E4
5.379420516E1,1.982812500E4
5.389639008E1,3.187500000E3
5.399627346E1,3.046875000E2
5.409877508E1,5.390625000E2
5.420206547E1,1.875000000E2
5.429641016E1,2.109375000E2
5.439757539E1,1.989843750E4
5.449653816E1,1.989843750E4
5.459578554E1,2.020312500E4
5.469736577E1,1.996875000E4
5.480323993E1,1.985156250E4
5.489575377E1,1.994531250E4
5.500460431E1,3.937500000E3
5.510472954E1,2.343750000E2
5.519675870E1,1.875000000E2
5.529637323E1,2.039062500E4
5.540081531E1,1.989843750E4
5.549665231E1,1.992187500E4
5.559630554E1,2.022656250E4
5.569645908E1,1.992187500E4
5.579731193E1,2.343750000E2
5.589568462E1,2.343750000E2
5.599638762E1,3.937500000E3
5.609792639E1,2.578125000E2
5.620209816E1,2.812500000E2
5.630973223E1,2.578125000E2
5.639929377E1,1.985156250E4
5.649659593E1,1.994531250E4
5.659840862E1,1.640625000E2
5.669623416E1,2.578125000E2
5.679704154E1,2.343750000E2
5.689697931E1,7.031250000E1
5.700207877E1,1.994531250E4
5.709643870E1,2.343750000E2
5.719557162E1,1.994531250E4
5.729660270E1,3.960937500E3
5.739565970E1,2.578125000E2
5.749660893E1,1.999218750E4
5.759640885E1,1.640625000E2
5.770259631E1,1.989843750E4
5.780554947E1,1.994531250E4
5.789574831E1,2.109375000E2
5.799738862E1,1.640625000E2
5.809948085E1,1.406250000E2
5.819633070E1,2.109375000E2
5.829550893E1,3.937500000E3
5.839649223E1,1.982812500E4
5.849757416E1,2.343750000E2
5.859637439E1,2.343750000E2
5.869386947E1,1.989843750E4
5.880386923E1,1.989843750E4
5.889641070E1,2.343750000E2
5.899658793E1,1.994531250E4
5.909662670E1,1.171875000E2
5.919646523E1,1.875000000E2
5.929954677E1,3.937500000E3
5.939676893E1,2.578125000E2
5.949790831E1,2.578125000E2
5.959801070E1,3.984375000E3
5.970026670E1,2.343750000E2
5.982104054E1,1.994531250E4
5.989648831E1,2.578125000E2
5.999685693E1,1.992187500E4
6.010642431E1,2.343750000E2
6.019533347E1,1.640625000E2
6.029610423E1,2.578125000E2
6.039381970E1,2.109375000E2
6.049330485E1,1.640625000E2
6.059344677E1,2.343750000E2
6.070100147E1,2.578125000E2
6.079628823E1,1.994531250E4
6.089658893E1,1.640625000E2
6.099681162E1,2.343750000E2
6.109347723E1,2.109375000E2
6.120244770E1,1.875000000E2
6.129279816E1,2.343750000E2
6.139302616E1,2.109375000E2
6.149360331E1,1.171875000E2
