"Frequency (Hz)","Absolute Amplitude (a.u.)"
1.035937500E4,1.642906639E-2
1.038281250E4,1.293176691E-2
1.040625000E4,1.443651195E-2
1.042968750E4,1.100460042E-2
1.045312500E4,1.048669346E-2
1.047656250E4,8.936463953E-3
1.050000000E4,6.880711357E-3
1.052343750E4,9.683757919E-3
1.054687500E4,2.460584924E-3
1.057031250E4,1.228374225E-2
1.059375000E4,8.760787405E-3
1.061718750E4,1.316094603E-2
1.064062500E4,1.791653613E-2
1.066406250E4,1.545291846E-2
1.068750000E4,4.253385790E-2
1.071093750E4,1.275544175E-1
1.073437500E4,5.960322297E-2
1.075781250E4,2.777346053E-2
1.078125000E4,1.446363459E-2
1.080468750E4,6.938101128E-3
1.082812500E4,2.383355972E-3
1.085156250E4,1.669065779E-3
1.087500000E4,4.236938667E-3
1.089843750E4,3.411107609E-3
1.092187500E4,2.118323956E-3
1.094531250E4,1.130214452E-2
1.096875000E4,7.881925885E-3
1.099218750E4,8.287429896E-3
1.101562500E4,1.016685578E-2
1.103906250E4,2.902967042E-3
1.106250000E4,6.018003594E-3
1.108593750E4,7.448740006E-3
1.110937500E4,6.958699009E-3
1.113281250E4,5.101446847E-3
1.115625000E4,9.611039040E-3
1.117968750E4,1.431777734E-2
1.120312500E4,4.162678131E-2
1.122656250E4,9.860129937E-3
1.125000000E4,8.769389457E-3
1.127343750E4,7.186393627E-3
1.129687500E4,6.096672586E-3
1.132031250E4,4.252074586E-3
1.134375000E4,9.964733708E-3
1.136718750E4,9.648155588E-3
1.139062500E4,7.641362944E-3
1.141406250E4,1.345144028E-3
1.143750000E4,7.028607306E-3
1.146093750E4,6.363703671E-3
1.148437500E4,4.213508458E-3
1.150781250E4,4.896462330E-3
1.153125000E4,1.083030230E-2
1.155468750E4,1.130119815E-2
1.157812500E4,6.930974795E-3
1.160156250E4,1.021423490E-2
1.162500000E4,1.209481911E-2
1.164843750E4,1.208823844E-2
1.167187500E4,2.986204248E-2
1.169531250E4,3.441944611E-2
1.171875000E4,1.716180306E-2
1.174218750E4,1.532318374E-2
1.176562500E4,1.257088698E-2
1.178906250E4,8.976289738E-3
1.181250000E4,4.935619786E-3
1.183593750E4,4.562576259E-3
1.185937500E4,1.190227934E-2
1.188281250E4,6.839663792E-3
1.190625000E4,1.181901704E-2
1.192968750E4,5.693908843E-3
1.195312500E4,7.824610804E-3
1.197656250E4,9.029409254E-3
1.200000000E4,7.757281447E-3
1.202343750E4,3.993081382E-3
1.204687500E4,1.167923287E-2
1.207031250E4,1.087889756E-2
1.209375000E4,8.812287990E-3
1.211718750E4,1.385859319E-2
1.214062500E4,9.638758368E-3
1.216406250E4,1.378223802E-2
1.218750000E4,6.192700397E-3
1.221093750E4,1.529707698E-2
1.223437500E4,6.812801420E-3
1.225781250E4,9.674947468E-4
1.228125000E4,5.282240623E-3
1.230468750E4,8.333440288E-3
1.232812500E4,2.021901330E-3
1.235156250E4,4.048692618E-3
1.237500000E4,6.300571216E-3
1.239843750E4,8.692454240E-3
1.242187500E4,1.207137195E-2
1.244531250E4,5.441326050E-3
1.246875000E4,9.794951673E-3
1.249218750E4,6.163860435E-3
1.251562500E4,1.399301129E-2
1.253906250E4,8.760593421E-3
1.256250000E4,1.080823343E-2
1.258593750E4,8.153795624E-3
