"Time (s)","Recording (a.u.)"
1.137500000E-2,-2.929776910E-3
1.139583333E-2,-2.533036287E-3
1.141666667E-2,1.373332926E-3
1.143750000E-2,7.324442274E-4
1.145833333E-2,4.119998779E-3
1.147916667E-2,2.410962249E-3
1.150000000E-2,6.714072085E-4
1.152083333E-2,-3.692739647E-3
1.154166667E-2,-2.990813929E-3
1.156250000E-2,-6.317331462E-3
1.158333333E-2,-5.127109592E-3
1.160416667E-2,-6.439405499E-3
1.162500000E-2,-4.425183874E-3
1.164583333E-2,-1.312295907E-3
1.166666667E-2,-3.662221137E-3
1.168750000E-2,3.051850948E-3
1.170833333E-2,-2.746665853E-3
1.172916667E-2,1.983703116E-3
1.175000000E-2,-1.861629078E-3
1.177083333E-2,-6.103701895E-5
1.179166667E-2,1.220740379E-4
1.181250000E-2,-2.716147343E-3
1.183333333E-2,3.204443495E-3
1.185416667E-2,1.617481002E-3
1.187500000E-2,6.836146123E-3
1.189583333E-2,5.706961272E-3
1.191666667E-2,1.281777398E-3
1.193750000E-2,-9.460737938E-4
1.195833333E-2,-7.049775689E-3
1.197916667E-2,-9.613330485E-3
1.200000000E-2,-7.477034822E-3
1.202083333E-2,-9.674367504E-3
1.204166667E-2,-4.058961760E-3
1.206250000E-2,-7.293923765E-3
1.208333333E-2,-1.800592059E-3
1.210416667E-2,1.831110569E-4
1.212500000E-2,2.258369701E-3
1.214583333E-2,7.080294198E-3
1.216666667E-2,4.577776421E-4
1.218750000E-2,1.586962493E-3
1.220833333E-2,-8.850367748E-3
1.222916667E-2,-6.897183142E-3
1.225000000E-2,-7.599108860E-3
1.227083333E-2,-4.516739402E-3
1.229166667E-2,1.647999512E-3
1.231250000E-2,2.746665853E-3
1.233333333E-2,6.653035066E-3
1.235416667E-2,4.730368969E-3
1.237500000E-2,7.415997803E-3
1.239583333E-2,5.584887234E-3
1.241666667E-2,7.629627369E-4
1.243750000E-2,-1.037629322E-3
1.245833333E-2,-1.004058962E-2
1.247916667E-2,-1.001007111E-2
1.250000000E-2,-1.150547807E-2
1.252083333E-2,-1.266518143E-2
1.254166667E-2,-2.319406720E-3
1.256250000E-2,-4.577776421E-3
1.258333333E-2,4.089480270E-3
1.260416667E-2,1.831110569E-3
1.262500000E-2,2.533036287E-3
1.264583333E-2,1.983703116E-3
1.266666667E-2,-5.005035554E-3
1.268750000E-2,2.136295663E-4
1.270833333E-2,-1.031525620E-2
1.272916667E-2,-2.624591815E-3
1.275000000E-2,-8.148442030E-3
1.277083333E-2,-2.899258400E-3
1.279166667E-2,1.739555040E-3
1.281250000E-2,7.324442274E-4
1.283333333E-2,9.125034333E-3
1.285416667E-2,2.716147343E-3
1.287500000E-2,3.997924741E-3
1.289583333E-2,-2.533036287E-3
1.291666667E-2,-5.432294687E-3
1.293750000E-2,-2.288888211E-3
1.295833333E-2,-3.997924741E-3
1.297916667E-2,1.159703360E-3
1.300000000E-2,-1.220740379E-3
1.302083333E-2,-3.967406232E-3
1.304166667E-2,-1.068147832E-3
1.306250000E-2,-4.821924497E-3
1.308333333E-2,3.418073061E-3
1.310416667E-2,-2.258369701E-3
1.312500000E-2,-3.021332438E-3
1.314583333E-2,-9.094515824E-3
1.316666667E-2,-1.416058840E-2
1.318750000E-2,-8.392590106E-3
1.320833333E-2,-8.819849239E-3
1.322916667E-2,4.608294931E-3
1.325000000E-2,3.326517533E-3
1.327083333E-2,9.216589862E-3
1.329166667E-2,5.829035310E-3
1.331250000E-2,4.058961760E-3
1.333333333E-2,7.080294198E-3
1.335416667E-2,1.525925474E-4
1.337500000E-2,3.387554552E-3
1.339583333E-2,-2.563554796E-3
1.341666667E-2,-3.021332438E-3
1.343750000E-2,-2.502517777E-3
1.345833333E-2,-2.685628834E-3
1.347916667E-2,1.586962493E-3
1.350000000E-2,4.577776421E-4
1.352083333E-2,3.051850948E-3
1.354166667E-2,2.746665853E-3
1.356250000E-2,-2.960295419E-3
1.358333333E-2,-6.103701895E-4
1.360416667E-2,-6.744590594E-3
1.362500000E-2,-3.387554552E-3
1.364583333E-2,-6.927701651E-3
1.366666667E-2,-6.012146367E-3
1.368750000E-2,-1.342814417E-3
1.370833333E-2,-4.913480026E-3
1.372916667E-2,3.143406476E-3
1.375000000E-2,-2.533036287E-3
1.377083333E-2,2.990813929E-3
1.379166667E-2,-1.129184851E-3
1.381250000E-2,1.068147832E-3
1.383333333E-2,2.868739891E-3
1.385416667E-2,-2.410962249E-3
1.387500000E-2,4.089480270E-3
1.389583333E-2,2.441480758E-4
1.391666667E-2,5.890072329E-3
1.393750000E-2,6.134220405E-3
1.395833333E-2,3.997924741E-3
1.397916667E-2,2.655110324E-3
1.400000000E-2,-4.089480270E-3
1.402083333E-2,-6.530961028E-3
1.404166667E-2,-8.026367992E-3
1.406250000E-2,-8.575701163E-3
1.408333333E-2,-5.371257668E-3
1.410416667E-2,-7.171849727E-3
1.412500000E-2,-2.807702872E-3
1.414583333E-2,-2.258369701E-3
1.416666667E-2,1.647999512E-3
1.418750000E-2,6.042664876E-3
1.420833333E-2,3.387554552E-3
1.422916667E-2,5.645924253E-3
1.425000000E-2,-4.608294931E-3
1.427083333E-2,-3.601184118E-3
1.429166667E-2,-7.934812464E-3
1.431250000E-2,-3.997924741E-3
1.433333333E-2,-3.357036042E-4
1.435416667E-2,1.983703116E-3
1.437500000E-2,6.866664632E-3
1.439583333E-2,4.699850459E-3
1.441666667E-2,8.789330729E-3
1.443750000E-2,6.225775933E-3
